,home_team,away_team,neutral,match_results,home_recent_wins,away_recent_wins,home_recent_goals_scored,away_recent_goals_scored,home_recent_goals_conceded,away_recent_goals_conceded,home_win_rate,away_win_rate,home_average_goal_difference,away_average_goal_difference
25037,Saint Vincent and the Grenadines,Honduras,0,0,3.0,3.0,15.0,10.0,3.0,7.0,0.6,0.6666666666666666,2.4,0.8333333333333334
25061,Trinidad and Tobago,Panama,0,1,5.0,1.0,17.0,4.0,1.0,17.0,0.875,0.2,2.75,-2.6
25117,Nigeria,Zambia,0,1,5.0,2.0,14.0,4.0,1.0,6.0,1.0,0.4,2.4285714285714284,-0.4
25233,Cameroon,Zambia,0,1,5.0,2.0,14.0,4.0,1.0,5.0,0.8571428571428571,0.3333333333333333,2.142857142857143,-0.5
25347,Costa Rica,Trinidad and Tobago,0,1,4.0,3.0,13.0,5.0,6.0,9.0,0.8,0.5,1.4,-1.3333333333333333
25356,Colombia,Bolivia,0,1,3.0,0.0,7.0,2.0,6.0,13.0,0.6666666666666666,0.0,0.3333333333333333,-2.2
25358,Peru,Chile,0,1,2.0,1.0,4.0,4.0,4.0,8.0,0.4,0.2,0.0,-0.8
25444,Morocco,Namibia,0,1,5.0,1.0,8.0,2.0,1.0,12.0,1.0,0.2,1.4,-2.0
25449,China PR,Maldives,0,1,3.0,0.0,28.0,1.0,5.0,17.0,0.6666666666666666,0.0,5.166666666666667,-3.1666666666666665
25448,Cameroon,Libya,0,1,5.0,0.0,13.0,3.0,0.0,14.0,0.875,0.0,2.0,-2.1666666666666665
25504,Congo,Madagascar,0,1,2.0,1.0,9.0,2.0,7.0,5.0,0.4,0.2,0.4,-0.6
25518,Madagascar,Tunisia,0,0,3.0,3.0,9.0,5.0,5.0,7.0,0.6,0.5,0.8,-0.6666666666666666
25519,Nigeria,Liberia,0,1,5.0,3.0,14.0,6.0,0.0,5.0,1.0,0.6,2.3333333333333335,0.2
25521,South Africa,Zimbabwe,0,1,5.0,4.0,8.0,6.0,1.0,5.0,1.0,0.8,1.5,0.2
25539,Syria,Laos,0,1,5.0,0.0,36.0,0.0,2.0,43.0,0.8571428571428571,0.0,4.857142857142857,-8.6
25625,Paraguay,Chile,0,1,5.0,1.0,14.0,4.0,3.0,7.0,1.0,0.16666666666666666,2.2,-1.0
25626,Peru,Ecuador,0,0,2.0,1.0,5.0,5.0,5.0,13.0,0.5,0.2,0.3333333333333333,-1.6
25623,Nigeria,Madagascar,0,1,5.0,1.0,12.0,2.0,0.0,6.0,1.0,0.16666666666666666,2.3,-0.8333333333333334
25649,Libya,Ivory Coast,0,0,4.0,4.0,9.0,8.0,4.0,3.0,0.8,0.6666666666666666,1.0,0.3333333333333333
25641,Egypt,Sudan,0,1,5.0,1.0,15.0,2.0,4.0,8.0,0.9,0.14285714285714285,1.7,-1.1428571428571428
25637,Argentina,Colombia,0,1,5.0,2.0,14.0,2.0,2.0,5.0,1.0,0.4,2.4,-0.6
25700,Trinidad and Tobago,Honduras,0,0,5.0,4.0,15.0,17.0,1.0,6.0,0.8888888888888888,0.7142857142857143,2.5555555555555554,1.7142857142857142
25698,Morocco,Gabon,0,0,5.0,0.0,10.0,5.0,1.0,14.0,1.0,0.0,1.6666666666666667,-1.8
25695,Madagascar,Zambia,0,0,2.0,1.0,7.0,4.0,7.0,7.0,0.5,0.25,0.3333333333333333,-0.625
25702,Burkina Faso,Algeria,0,1,4.0,1.0,10.0,5.0,4.0,12.0,0.6666666666666666,0.2,0.6666666666666666,-1.4
25703,DR Congo,Zimbabwe,0,1,4.0,3.0,8.0,6.0,3.0,7.0,0.8333333333333334,0.6666666666666666,2.1666666666666665,-0.0
25707,Sudan,Libya,0,1,4.0,0.0,9.0,2.0,2.0,12.0,0.8,0.0,1.4,-2.0
25713,United States,Trinidad and Tobago,0,1,5.0,2.0,12.0,3.0,0.0,11.0,1.0,0.42857142857142855,2.5,-1.5714285714285714
25710,Costa Rica,Jamaica,0,1,5.0,1.0,15.0,1.0,4.0,8.0,0.8333333333333334,0.2,1.6666666666666667,-1.4
25732,Trinidad and Tobago,Jamaica,0,0,4.0,1.0,14.0,2.0,4.0,9.0,0.8,0.16666666666666666,2.1,-1.3333333333333333
25743,Uruguay,Brazil,0,1,4.0,2.0,10.0,8.0,3.0,6.0,0.8,0.4,1.4,0.4
25736,Ivory Coast,Madagascar,0,1,5.0,1.0,14.0,2.0,1.0,6.0,1.0,0.14285714285714285,2.6,-0.8571428571428571
25742,Tunisia,Congo,0,1,4.0,1.0,15.0,4.0,4.0,12.0,0.8571428571428571,0.25,2.142857142857143,-1.0
25734,Cameroon,Togo,0,1,5.0,2.0,11.0,4.0,0.0,6.0,0.8888888888888888,0.4,1.8888888888888888,-0.4
25764,Colombia,Venezuela,0,1,3.0,0.0,7.0,1.0,5.0,17.0,0.7142857142857143,0.0,0.5714285714285714,-3.0
25765,Ecuador,Chile,1,0,5.0,1.0,8.0,3.0,2.0,6.0,1.0,0.14285714285714285,1.3333333333333333,-1.0
25775,Egypt,Namibia,0,1,5.0,1.0,14.0,2.0,4.0,13.0,0.9090909090909091,0.16666666666666666,1.6363636363636365,-2.1666666666666665
25776,Honduras,Costa Rica,1,0,3.0,2.0,12.0,7.0,6.0,8.0,0.7272727272727273,0.4,1.9090909090909092,-0.2
25783,Chile,Venezuela,1,1,2.0,0.0,6.0,0.0,5.0,16.0,0.4,0.0,0.2,-2.875
25784,Colombia,Ecuador,0,1,3.0,2.0,6.0,5.0,5.0,11.0,0.75,0.3333333333333333,0.75,-1.1666666666666667
25793,Ghana,Sudan,0,1,4.0,1.0,16.0,4.0,5.0,10.0,0.6666666666666666,0.125,1.2222222222222223,-1.125
25795,Togo,Libya,0,1,4.0,0.0,9.0,1.0,4.0,11.0,0.8333333333333334,0.0,1.3333333333333333,-1.875
25792,DR Congo,Tunisia,0,0,4.0,3.0,8.0,6.0,4.0,7.0,0.8571428571428571,0.5714285714285714,2.0,-0.2857142857142857
